combo,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,cdpam_median
"AST
PGD",2.7676109999999996,0.951628,3.8003375,-3.3900075000000003,3.1002425000000002,0.8580369999999999
"AST
Psychoacoustic",4.058031,0.98692,4.635804,-2.0048565,4.4210965,
"AST
X-Shift",3.869409,0.9903905,4.460466,-1.7982749999999998,3.4742685,0.9497225
"SPECTR
PGD",2.756184,0.9496565,3.7909495,-3.3893545,3.141954,0.858645
"SPECTR
Psychoacoustic",3.7709305,0.9603555,4.1516470000000005,-2.5499669999999997,3.7860695,
"SPECTR
X-Shift",3.737665,0.9925805,4.478679,-2.0981095,3.697644,0.9254935
"VGG
PGD",2.835879,0.9534425,3.8553425,-3.3714079999999997,3.2150285,0.841673
"VGG
Psychoacoustic",4.4251375,0.9969174999999999,4.8898685,-0.4099005,4.6199165,
"VGG
X-Shift",3.7809925,0.9904695,4.3135475,-2.1649955,3.5619509999999996,0.9381935
