model,attack,experiment,cos_threshold,top10_threshold,aasr,n_samples
AST,PGD,AST | PGD,0.0,0.0,0.0,100
AST,PGD,AST | PGD,0.0,0.1,0.0,100
AST,PGD,AST | PGD,0.0,0.2,0.0,100
AST,PGD,AST | PGD,0.0,0.3,0.0,100
AST,PGD,AST | PGD,0.0,0.4,0.0,100
AST,PGD,AST | PGD,0.0,0.5,0.0,100
AST,PGD,AST | PGD,0.0,0.6,0.0,100
AST,PGD,AST | PGD,0.0,0.7,0.0,100
AST,PGD,AST | PGD,0.0,0.8,0.0,100
AST,PGD,AST | PGD,0.0,0.9,0.0,100
AST,PGD,AST | PGD,0.0,1.0,0.0,100
AST,PGD,AST | PGD,0.1,0.0,0.0,100
AST,PGD,AST | PGD,0.1,0.1,0.9,100
AST,PGD,AST | PGD,0.1,0.2,0.99,100
AST,PGD,AST | PGD,0.1,0.3,0.99,100
AST,PGD,AST | PGD,0.1,0.4,0.99,100
AST,PGD,AST | PGD,0.1,0.5,0.99,100
AST,PGD,AST | PGD,0.1,0.6,0.99,100
AST,PGD,AST | PGD,0.1,0.7,0.99,100
AST,PGD,AST | PGD,0.1,0.8,0.99,100
AST,PGD,AST | PGD,0.1,0.9,0.99,100
AST,PGD,AST | PGD,0.1,1.0,0.99,100
AST,PGD,AST | PGD,0.2,0.0,0.0,100
AST,PGD,AST | PGD,0.2,0.1,0.9,100
AST,PGD,AST | PGD,0.2,0.2,0.99,100
AST,PGD,AST | PGD,0.2,0.3,0.99,100
AST,PGD,AST | PGD,0.2,0.4,0.99,100
AST,PGD,AST | PGD,0.2,0.5,0.99,100
AST,PGD,AST | PGD,0.2,0.6,0.99,100
AST,PGD,AST | PGD,0.2,0.7,0.99,100
AST,PGD,AST | PGD,0.2,0.8,0.99,100
AST,PGD,AST | PGD,0.2,0.9,0.99,100
AST,PGD,AST | PGD,0.2,1.0,0.99,100
AST,PGD,AST | PGD,0.3,0.0,0.0,100
AST,PGD,AST | PGD,0.3,0.1,0.9,100
AST,PGD,AST | PGD,0.3,0.2,0.99,100
AST,PGD,AST | PGD,0.3,0.3,0.99,100
AST,PGD,AST | PGD,0.3,0.4,0.99,100
AST,PGD,AST | PGD,0.3,0.5,0.99,100
AST,PGD,AST | PGD,0.3,0.6,0.99,100
AST,PGD,AST | PGD,0.3,0.7,0.99,100
AST,PGD,AST | PGD,0.3,0.8,0.99,100
AST,PGD,AST | PGD,0.3,0.9,0.99,100
AST,PGD,AST | PGD,0.3,1.0,0.99,100
AST,PGD,AST | PGD,0.4,0.0,0.0,100
AST,PGD,AST | PGD,0.4,0.1,0.9,100
AST,PGD,AST | PGD,0.4,0.2,0.99,100
AST,PGD,AST | PGD,0.4,0.3,0.99,100
AST,PGD,AST | PGD,0.4,0.4,0.99,100
AST,PGD,AST | PGD,0.4,0.5,0.99,100
AST,PGD,AST | PGD,0.4,0.6,0.99,100
AST,PGD,AST | PGD,0.4,0.7,0.99,100
AST,PGD,AST | PGD,0.4,0.8,0.99,100
AST,PGD,AST | PGD,0.4,0.9,0.99,100
AST,PGD,AST | PGD,0.4,1.0,0.99,100
AST,PGD,AST | PGD,0.5,0.0,0.0,100
AST,PGD,AST | PGD,0.5,0.1,0.9,100
AST,PGD,AST | PGD,0.5,0.2,0.99,100
AST,PGD,AST | PGD,0.5,0.3,0.99,100
AST,PGD,AST | PGD,0.5,0.4,0.99,100
AST,PGD,AST | PGD,0.5,0.5,0.99,100
AST,PGD,AST | PGD,0.5,0.6,0.99,100
AST,PGD,AST | PGD,0.5,0.7,0.99,100
AST,PGD,AST | PGD,0.5,0.8,0.99,100
AST,PGD,AST | PGD,0.5,0.9,0.99,100
AST,PGD,AST | PGD,0.5,1.0,0.99,100
AST,PGD,AST | PGD,0.6,0.0,0.0,100
AST,PGD,AST | PGD,0.6,0.1,0.9,100
AST,PGD,AST | PGD,0.6,0.2,0.99,100
AST,PGD,AST | PGD,0.6,0.3,0.99,100
AST,PGD,AST | PGD,0.6,0.4,0.99,100
AST,PGD,AST | PGD,0.6,0.5,0.99,100
AST,PGD,AST | PGD,0.6,0.6,0.99,100
AST,PGD,AST | PGD,0.6,0.7,0.99,100
