model,attack,experiment,cos_threshold,top10_threshold,aasr,n_samples
AST,PGD,AST | PGD,0.0,0.0,0.0,100
AST,PGD,AST | PGD,0.6,0.8,0.99,100
AST,PGD,AST | PGD,0.6,0.9,0.99,100
AST,PGD,AST | PGD,0.6,1.0,0.99,100
AST,PGD,AST | PGD,0.7,0.0,0.0,100
AST,PGD,AST | PGD,0.7,0.1,0.9,100
AST,PGD,AST | PGD,0.7,0.2,0.99,100
AST,PGD,AST | PGD,0.7,0.3,0.99,100
AST,PGD,AST | PGD,0.7,0.4,0.99,100
AST,PGD,AST | PGD,0.7,0.5,0.99,100
AST,PGD,AST | PGD,0.7,0.6,0.99,100
AST,PGD,AST | PGD,0.7,0.7,0.99,100
AST,PGD,AST | PGD,0.7,0.8,0.99,100
AST,PGD,AST | PGD,0.7,0.9,0.99,100
AST,PGD,AST | PGD,0.7,1.0,0.99,100
AST,PGD,AST | PGD,0.8,0.0,0.0,100
AST,PGD,AST | PGD,0.8,0.1,0.9,100
AST,PGD,AST | PGD,0.8,0.2,0.99,100
AST,PGD,AST | PGD,0.8,0.3,0.99,100
AST,PGD,AST | PGD,0.8,0.4,0.99,100
AST,PGD,AST | PGD,0.8,0.5,0.99,100
AST,PGD,AST | PGD,0.8,0.6,0.99,100
AST,PGD,AST | PGD,0.8,0.7,0.99,100
AST,PGD,AST | PGD,0.8,0.8,0.99,100
AST,PGD,AST | PGD,0.8,0.9,0.99,100
AST,PGD,AST | PGD,0.8,1.0,0.99,100
AST,PGD,AST | PGD,0.9,0.0,0.0,100
AST,PGD,AST | PGD,0.9,0.1,0.9,100
AST,PGD,AST | PGD,0.9,0.2,0.99,100
AST,PGD,AST | PGD,0.9,0.3,0.99,100
AST,PGD,AST | PGD,0.9,0.4,0.99,100
AST,PGD,AST | PGD,0.9,0.5,0.99,100
AST,PGD,AST | PGD,0.9,0.6,0.99,100
AST,PGD,AST | PGD,0.9,0.7,0.99,100
AST,PGD,AST | PGD,0.9,0.8,0.99,100
AST,PGD,AST | PGD,0.9,0.9,0.99,100
AST,PGD,AST | PGD,0.9,1.0,0.99,100
AST,PGD,AST | PGD,1.0,0.0,0.0,100
AST,PGD,AST | PGD,1.0,0.1,0.9,100
AST,PGD,AST | PGD,1.0,0.2,0.99,100
AST,PGD,AST | PGD,1.0,0.3,0.99,100
AST,PGD,AST | PGD,1.0,0.4,0.99,100
AST,PGD,AST | PGD,1.0,0.5,0.99,100
AST,PGD,AST | PGD,1.0,0.6,0.99,100
AST,PGD,AST | PGD,1.0,0.7,0.99,100
AST,PGD,AST | PGD,1.0,0.8,0.99,100
AST,PGD,AST | PGD,1.0,0.9,0.99,100
AST,PGD,AST | PGD,1.0,1.0,0.99,100
