model,attack,experiment,n_samples,pred_preserved_rate,attr_changed_cos_rate,attr_changed_top10_rate,attr_changed_both_rate,aasr_cos_only,aasr_top10_only,aasr_either,aasr,aasr_quality,afs_simple_mean,afs_simple_median,afs_simple_std,afs_simple_p25,afs_simple_p75,afs_quality_mean,afs_quality_median,afs_quality_std,afs_quality_p25,afs_quality_p75,afs_stable_mean,afs_stable_median,afs_stable_std,afs_stable_p25,afs_stable_p75,attribution_change_mean,attribution_change_median,attribution_change_p25,attribution_change_p75,cos_sim_mean,cos_sim_median,cos_sim_p25,cos_sim_p75,top10_overlap_mean,top10_overlap_median,top10_overlap_p25,top10_overlap_p75,abs_score_shift_mean,abs_score_shift_median,margin_adv_mean,margin_adv_median,margin_drop_mean,margin_drop_median,near_boundary_adv_005,near_boundary_adv_010,near_boundary_adv_custom,quality_score_mean,quality_score_median,quality_score_p25,quality_score_p75,accuracy_orig,accuracy_adv,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,cdpam_median,afs_stable_ci_low,afs_stable_ci_high,afs_stable_ci_width,afs_quality_ci_low,afs_quality_ci_high,afs_quality_ci_width,afs_simple_ci_low,afs_simple_ci_high,afs_simple_ci_width,aasr_ci_low,aasr_ci_high,aasr_ci_width,aasr_quality_ci_low,aasr_quality_ci_high,aasr_quality_ci_width,attribution_change_ci_low,attribution_change_ci_high,attribution_change_ci_width,accuracy_drop
AST,PGD,AST | PGD,100,0.99,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.34,0.95719938,0.9718450000000001,0.09871893377179985,0.957974,0.981272,0.5949208176811992,0.6005733287849195,0.18115603411467143,0.5058044338254722,0.703313988542629,0.5891567767100365,0.5900840755979866,0.18258588785872426,0.49674571488848906,0.691308007594677,0.966117895,0.9718450000000001,0.957974,0.981272,0.020432679999999998,0.018493000000000002,0.014596749999999999,0.02400525,0.04733153,0.0365015,0.019215,0.06091625,0.009419909999999998,0.00017500000000003052,0.49039431,0.499872,-0.0023930099999999966,-7.5000000000213785e-06,0.0,0.01,0.01,0.6225463342547619,0.617703905952381,0.5208191752976191,0.7346505711309523,1.0,0.99,2.7676109999999996,0.951628,3.8003375,-3.3900075000000003,3.1002425000000002,0.8580369999999999,0.5533699426897267,0.6249436107303465,0.07157366804061982,0.5594142349947235,0.6304274003676746,0.0710131653729511,0.9378504689807272,0.9765482910192729,0.03869782203854566,0.9704,1.0,0.02959999999999996,0.24668533520037345,0.4333146647996266,0.18662932959925316,0.9619445939674995,0.9702911960325005,0.00834660206500093,0.010000000000000009
AST,Psychoacoustic,AST | Psychoacoustic,100,0.97,1.0,0.96,0.96,0.97,0.93,0.97,0.93,0.72,0.8650995399999999,0.8970505,0.16509576561120792,0.857317125,0.932107,0.6875364706910245,0.6856163140843047,0.19925218382588786,0.5693818911346837,0.8550605676948196,0.6193185874641659,0.6659189372463921,0.2573794498672285,0.4858144051376964,0.8359345253319439,0.89181551,0.89846625,0.8637785,0.932107,0.13991118,0.140767,0.08931675,0.187492,0.0764578,0.049462,0.026791500000000003,0.0694535,0.07668232999999999,0.0036690000000000333,0.42979083,0.494848,0.05821047,0.0009794999999999665,0.01,0.04,0.04,0.7855215817083334,0.7861852521428572,0.6494736696428572,0.9719550775,1.0,0.97,4.058031,0.98692,4.635804,-2.0048565,4.4210965,,0.5688722152901892,0.6697649596381426,0.10089274434795348,0.6484830426611505,0.7265898987208985,0.07810685605974799,0.8327407699402032,0.8974583100597966,0.06471754011959341,0.8797392496046564,0.9802607503953437,0.10052150079068722,0.6315528714685743,0.8084471285314256,0.17689425706285133,0.8795998974214732,0.9040311225785265,0.024431225157053316,0.030000000000000027
AST,X-Shift,AST | X-Shift,100,0.9,0.88,0.53,0.53,0.79,0.46,0.79,0.46,0.36,0.65480581,0.735333,0.2597577049638174,0.5839527499999999,0.842901,0.5080101759467738,0.5381269127764863,0.23975893354892117,0.3603839161153143,0.6925145198363964,0.4813731668196759,0.503477823722174,0.2405987164071544,0.33822364922899106,0.6661105210183602,0.73035251,0.7626935,0.6445615,0.84964175,0.20250153,0.163171,0.09826725,0.2554285,0.33679345,0.24657,0.17519425,0.49754824999999997,0.10349082000000001,0.0001815,0.4675951,0.49958749999999996,0.020406200000000006,4.999999999996674e-05,0.0,0.0,0.0,0.7712030423690476,0.7974125416666666,0.6877313660714286,0.8798338458333335,1.0,0.9,3.869409,0.9903905,4.460466,-1.7982749999999998,3.4742685,0.9497225,0.43421581840387363,0.5285305152354781,0.09431469683160448,0.46101742497118525,0.5550029269223623,0.09398550195117705,0.6038932998270918,0.7057183201729083,0.10182502034581642,0.36182197987144155,0.5581780201285584,0.1963560402571169,0.2654460423404133,0.45455395765958667,0.18910791531917337,0.7017224603354619,0.7589825596645379,0.05726009932907594,0.09999999999999998
SPECTR,PGD,SPECTR | PGD,100,0.92,0.9,1.0,0.9,0.83,0.92,0.92,0.83,0.29,0.768435645,0.8521332500000001,0.23577880400118395,0.7828507500000002,0.8746307500000001,0.4762763463567171,0.5050096775831869,0.20371198239437127,0.3832128345873116,0.6101634346716087,0.3936467583096154,0.40168690391120837,0.20546449278074608,0.2509422802857803,0.550490243365839,0.83376339,0.8544425,0.8079259999999999,0.876006625,0.25289866,0.22002850000000002,0.1834485,0.2845575,0.07957456,0.0730865,0.053407500000000004,0.100297,0.046542820000000006,0.014352500000000046,0.38315467,0.445441,-0.007882580000000004,-0.003581000000000001,0.05,0.07,0.07,0.618058964904762,0.6154509547619048,0.5201880113095239,0.7248148925595239,0.89,0.91,2.756184,0.9496565,3.7909495,-3.3893545,3.141954,0.858645,0.3533757177245892,0.43391779889464166,0.08054208117005246,0.4363487978074203,0.5162038949060138,0.07985509709859351,0.7222229994157678,0.814648290584232,0.09242529116846421,0.7560050670585471,0.9039949329414528,0.14798986588290575,0.20061458777187452,0.37938541222812544,0.17877082445625092,0.8213529879741241,0.8461737920258756,0.024820804051751466,-0.020000000000000018
SPECTR,Psychoacoustic,SPECTR | Psychoacoustic,100,1.0,0.0,0.74,0.0,0.0,0.74,0.74,0.0,0.0,0.5266945,0.55486675,0.12588788676150608,0.46821475,0.62056475,0.3615433643127395,0.366833607712749,0.11675034541270238,0.28426862842389644,0.4569592813314643,0.331279588142043,0.3414255783101109,0.11571640805436945,0.24405514108264642,0.42290851183309075,0.5266945,0.55486675,0.46821475,0.62056475,0.76870633,0.7626105,0.70434525,0.8522695,0.17790467,0.142857,0.0,0.333333,0.10886055,0.04066700000000001,0.46075426,0.4873735,-0.08548217,-0.03739950000000003,0.01,0.01,0.01,0.6915075145440477,0.7036914428571428,0.633742246607143,0.7791879864285715,0.89,0.89,3.7709305,0.9603555,4.1516470000000005,-2.5499669999999997,3.7860695,,0.3085991721633866,0.3539600041206994,0.045360831957312775,0.3386602966118498,0.38442643201362914,0.04576613540177932,0.5020204741947447,0.5513685258052552,0.04934805161051048,0.0,0.0,0.0,0.0,0.0,0.0,0.5020204741947447,0.5513685258052552,0.04934805161051048,0.0
SPECTR,X-Shift,SPECTR | X-Shift,100,0.94,0.13,0.37,0.12,0.13,0.36,0.37,0.12,0.1,0.4963498,0.51661125,0.17985371570096756,0.424320375,0.604212375,0.38479930787882727,0.39532244444340264,0.16549489850898277,0.31326313302603487,0.4988686021951012,0.309919660329072,0.32380196266942807,0.16673365165699627,0.19533811665763057,0.4291436604889022,0.52313657,0.51997,0.43056999999999995,0.6064123750000001,0.59765504,0.6009755,0.49377775,0.7052222499999999,0.35607182000000004,0.3559695,0.274725,0.42721325,0.056730670000000004,0.015769499999999992,0.38631658,0.45503299999999997,-0.01104449,-0.0019209999999999783,0.05,0.06,0.06,0.7659557446595238,0.7604964184523809,0.7021687750000001,0.8634032035714285,0.89,0.89,3.737665,0.9925805,4.478679,-2.0981095,3.697644,0.9254935,0.27723986460430067,0.3425994560538432,0.06535959144954251,0.35236230777106664,0.4172363079865879,0.06487400021552125,0.4610984717226104,0.5316011282773897,0.07050265655477927,0.05598666805526627,0.18401333194473374,0.12802666388946748,0.04090377646275834,0.15909622353724168,0.11819244707448334,0.4971238942360759,0.5491492457639242,0.05202535152784832,0.0
VGG,PGD,VGG | PGD,100,0.96,0.0,1.0,0.0,0.0,0.96,0.96,0.0,0.0,0.680015945,0.7107445,0.14317715736018052,0.687445875,0.733407375,0.424962743305745,0.4381867790606694,0.14907053141555182,0.35116994699856696,0.5090385656480302,0.41184200922394937,0.43706143058585695,0.16306322644828133,0.3416263271792304,0.5042273764725366,0.708769965,0.71219125,0.6915127499999999,0.7339415,0.4882373,0.482774,0.46184325,0.51382575,0.09422277,0.085086,0.065148,0.11605025,0.03081321,0.0,0.46750134000000004,0.5,0.009583590000000001,0.0,0.02,0.03,0.03,0.6245646588238095,0.6269089642857144,0.5176725431547619,0.7339342701785714,0.96,0.96,2.835879,0.9534425,3.8553425,-3.3714079999999997,3.2150285,0.841673,0.37988161684008626,0.4438024016078125,0.06392078476772622,0.3957449191482969,0.45418056746319324,0.05843564831489634,0.6519532221574046,0.7080786678425953,0.056125445685190734,0.0,0.0,0.0,0.0,0.0,0.0,0.7023854361613715,0.7151544938386283,0.012769057677256779,0.0
VGG,Psychoacoustic,VGG | Psychoacoustic,100,1.0,0.71,0.55,0.26,0.71,0.55,1.0,0.26,0.19,0.704200665,0.7140614999999999,0.06685632297602084,0.66428925,0.748331,0.5987362457611788,0.5980890841955679,0.11875689168412643,0.5348262914026388,0.690066625,0.5797124823965643,0.5864897774743839,0.14098567426460293,0.4988830155671304,0.68493075,0.704200665,0.7140614999999999,0.66428925,0.748331,0.24097957999999997,0.171008,0.066583,0.42054075,0.35061909,0.2572375,0.1450775,0.5090812499999999,0.027765650000000003,0.0,0.48358542,0.5,-0.006500489999999994,0.0,0.0,0.0,0.0,0.8539404192511904,0.9164486842857142,0.7397166953571429,0.9962879425000001,0.96,0.96,4.4251375,0.9969174999999999,4.8898685,-0.4099005,4.6199165,,0.5520792902407022,0.6073456745524265,0.05526638431172426,0.57545989499109,0.6220125965312676,0.046552701540177654,0.6910968256966998,0.7173045043033,0.026207678606600116,0.17359457555374563,0.3464054244462544,0.17281084889250875,0.11272166009688214,0.2672783399031179,0.15455667980623575,0.6910968256966998,0.7173045043033,0.026207678606600116,0.0
VGG,X-Shift,VGG | X-Shift,100,0.92,1.0,1.0,1.0,0.92,0.92,0.92,0.92,0.65,0.8668613000000001,0.94356325,0.25729854690184906,0.9327277500000001,0.950664125,0.6526318674018874,0.691084958631955,0.24124132732661113,0.5818826142988799,0.8195426751947604,0.6463897402917145,0.6863452355140236,0.24235710741824462,0.5723438108088842,0.8195422643306668,0.94275179,0.94520675,0.936934,0.95187825,0.0030843900000000002,0.0010240000000000002,0.00036149999999999995,0.00255175,0.11141203000000001,0.1071965,0.09372875,0.1222825,0.08059525000000001,0.0,0.4858527,0.5,-0.00876777,0.0,0.01,0.01,0.01,0.752076418747619,0.7467618333333332,0.6704069880952381,0.8798264997023808,0.96,0.92,3.7809925,0.9904695,4.3135475,-2.1649955,3.5619509999999996,0.9381935,0.5988877472377385,0.6938917333456904,0.09500398610795191,0.6053485672458715,0.6999151675579031,0.09456660031203157,0.8164307848072376,0.9172918151927625,0.10086103038552485,0.866558654828519,0.9734413451714811,0.10688269034296205,0.556042992853544,0.7439570071464561,0.1879140142929121,0.9399334602509087,0.9455701197490914,0.005636659498182706,0.039999999999999925
