attack,n_samples,pred_preserved_rate,attr_changed_cos_rate,attr_changed_top10_rate,attr_changed_both_rate,aasr_cos_only,aasr_top10_only,aasr_either,aasr,aasr_quality,afs_simple_mean,afs_simple_median,afs_simple_std,afs_simple_p25,afs_simple_p75,afs_quality_mean,afs_quality_median,afs_quality_std,afs_quality_p25,afs_quality_p75,afs_stable_mean,afs_stable_median,afs_stable_std,afs_stable_p25,afs_stable_p75,attribution_change_mean,attribution_change_median,attribution_change_p25,attribution_change_p75,cos_sim_mean,cos_sim_median,cos_sim_p25,cos_sim_p75,top10_overlap_mean,top10_overlap_median,top10_overlap_p25,top10_overlap_p75,abs_score_shift_mean,abs_score_shift_median,margin_adv_mean,margin_adv_median,margin_drop_mean,margin_drop_median,near_boundary_adv_005,near_boundary_adv_010,near_boundary_adv_custom,quality_score_mean,quality_score_median,quality_score_p25,quality_score_p75,accuracy_orig,accuracy_adv,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,cdpam_median,afs_stable_ci_low,afs_stable_ci_high,afs_stable_ci_width,afs_quality_ci_low,afs_quality_ci_high,afs_quality_ci_width,afs_simple_ci_low,afs_simple_ci_high,afs_simple_ci_width,aasr_ci_low,aasr_ci_high,aasr_ci_width,aasr_quality_ci_low,aasr_quality_ci_high,aasr_quality_ci_width,attribution_change_ci_low,attribution_change_ci_high,attribution_change_ci_width,accuracy_drop
PGD,100.0,0.9566666666666667,0.6333333333333333,1.0,0.6333333333333333,0.6066666666666666,0.9566666666666667,0.9566666666666667,0.6066666666666666,0.21,0.8018836566666666,0.8449075833333334,0.1592249650443881,0.8094235416666667,0.863103375,0.4987199691145538,0.5145899284762586,0.17797951597486483,0.41339573847045025,0.607505329620756,0.4648818480812004,0.476277470031684,0.18370453569591724,0.36310477411783326,0.5820085424776842,0.8362170833333332,0.8461595833333334,0.8191375833333332,0.8637400416666666,0.2538562133333333,0.24043183333333332,0.21996283333333333,0.27412949999999997,0.07370961999999999,0.06489133333333333,0.0459235,0.09242116666666667,0.02892531333333333,0.004842500000000026,0.4470167733333333,0.481771,-0.00023066666666666664,-0.0011961666666666741,0.023333333333333334,0.03666666666666667,0.03666666666666667,0.6217233193277778,0.620021275,0.5195599099206349,0.7311332446230159,0.9500000000000001,0.9533333333333333,2.786558,0.9515756666666667,3.8155431666666666,-3.38359,3.1524083333333337,0.8527849999999999,0.42887575908480075,0.5008879370776002,0.0720121779927995,0.46383598398348025,0.5336039542456272,0.06976797026214698,0.7706755635179666,0.8330917498153667,0.0624161862974002,0.5754683556861824,0.634664977647151,0.059196621960968566,0.14909997432408265,0.27090002567591737,0.12180005135183469,0.8285610060343318,0.8438731606323348,0.015312154598003058,-0.003333333333333336
Psychoacoustic,100.0,0.9899999999999999,0.57,0.75,0.4066666666666667,0.5599999999999999,0.7400000000000001,0.9033333333333333,0.39666666666666667,0.3033333333333333,0.6986649016666666,0.7219929166666667,0.11927999178291161,0.6632737083333334,0.7670009166666666,0.5492720269216477,0.5501796686642072,0.1449198069742389,0.46282560365373965,0.6673621580087614,0.5101035526675911,0.5312780976769623,0.17136051072873362,0.4095841872624911,0.6479245957216783,0.707570225,0.7224648333333333,0.6654275,0.7670009166666666,0.38319902999999994,0.3581285,0.2867483333333334,0.4867674166666667,0.20166052,0.14985216666666668,0.05728966666666666,0.3039559166666666,0.07110284333333333,0.014778666666666681,0.4580435033333334,0.4940738333333334,-0.011257396666666664,-0.01214000000000002,0.006666666666666667,0.016666666666666666,0.016666666666666666,0.7769898385011905,0.8021084597619047,0.6743108705357144,0.9158103354761905,0.9500000000000001,0.94,4.084699666666666,0.9813976666666666,4.5591065,-1.6549079999999998,4.275694166666667,,0.4765168925647593,0.5436902127704228,0.06717332020566351,0.5208677447546968,0.5776763090885985,0.056808564333901655,0.6752860232772159,0.7220437800561172,0.04675775677890134,0.3511112750528007,0.4422220582805327,0.09111078322773199,0.2480915105218188,0.3585751561448478,0.11048364562302904,0.6909057324376393,0.7242347175623606,0.0333289851247213,0.010000000000000009
X-Shift,100.0,0.9199999999999999,0.6699999999999999,0.6333333333333333,0.5499999999999999,0.6133333333333334,0.58,0.6933333333333334,0.5,0.36999999999999994,0.6726723033333334,0.7318358333333332,0.23230332252221134,0.6470002916666667,0.7992591666666667,0.5151471170758295,0.5415114386172813,0.21549838646150501,0.4185098878134097,0.6703085990754194,0.4792275224801541,0.5045416739685419,0.21656315849413177,0.36863519223183533,0.6382654819459764,0.73208029,0.7426234166666666,0.6706885000000001,0.802644125,0.2677469866666667,0.25505683333333334,0.19746883333333334,0.3210675,0.2680924333333334,0.2365786666666667,0.18121600000000002,0.34901466666666664,0.08027224666666667,0.005316999999999998,0.4465881266666667,0.48487349999999996,0.0001979800000000021,-0.0006236666666666705,0.02,0.02333333333333333,0.02333333333333333,0.7630784019253968,0.7682235978174603,0.6867690430555555,0.8743545163690477,0.9500000000000001,0.9033333333333333,3.796022166666667,0.9911468333333332,4.417564166666667,-2.02046,3.5779545,0.9378031666666667,0.4367811434153042,0.5216739015450039,0.08489275812969964,0.47290943332937446,0.5573848008222845,0.08447536749290996,0.62714085211898,0.7182037545476868,0.09106290242870685,0.42812243425174223,0.5718775657482578,0.14375513149651548,0.28746427055223855,0.45253572944776144,0.16507145889552294,0.7129266049408155,0.7512339750591845,0.03830737011836899,0.046666666666666634
