model,n_samples,pred_preserved_rate,attr_changed_cos_rate,attr_changed_top10_rate,attr_changed_both_rate,aasr_cos_only,aasr_top10_only,aasr_either,aasr,aasr_quality,afs_simple_mean,afs_simple_median,afs_simple_std,afs_simple_p25,afs_simple_p75,afs_quality_mean,afs_quality_median,afs_quality_std,afs_quality_p25,afs_quality_p75,afs_stable_mean,afs_stable_median,afs_stable_std,afs_stable_p25,afs_stable_p75,attribution_change_mean,attribution_change_median,attribution_change_p25,attribution_change_p75,cos_sim_mean,cos_sim_median,cos_sim_p25,cos_sim_p75,top10_overlap_mean,top10_overlap_median,top10_overlap_p25,top10_overlap_p75,abs_score_shift_mean,abs_score_shift_median,margin_adv_mean,margin_adv_median,margin_drop_mean,margin_drop_median,near_boundary_adv_005,near_boundary_adv_010,near_boundary_adv_custom,quality_score_mean,quality_score_median,quality_score_p25,quality_score_p75,accuracy_orig,accuracy_adv,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,cdpam_median,afs_stable_ci_low,afs_stable_ci_high,afs_stable_ci_width,afs_quality_ci_low,afs_quality_ci_high,afs_quality_ci_width,afs_simple_ci_low,afs_simple_ci_high,afs_simple_ci_width,aasr_ci_low,aasr_ci_high,aasr_ci_width,aasr_quality_ci_low,aasr_quality_ci_high,aasr_quality_ci_width,attribution_change_ci_low,attribution_change_ci_high,attribution_change_ci_width,accuracy_drop
AST,100.0,0.9533333333333333,0.96,0.8300000000000001,0.8300000000000001,0.9166666666666666,0.7933333333333333,0.9166666666666666,0.7933333333333333,0.47333333333333333,0.8257015766666665,0.8680761666666666,0.17452413478227505,0.7997479583333332,0.9187600000000001,0.5968224881063325,0.6081055185485701,0.2067223838298268,0.47852341369182344,0.7502963586912816,0.5632828436646261,0.5864936121888509,0.22685468471103573,0.44026125641839214,0.731117684648327,0.8627619716666667,0.87766825,0.8221046666666667,0.9210069166666667,0.12094846333333335,0.107477,0.06739358333333333,0.15564191666666669,0.15352759333333332,0.11084450000000001,0.07373358333333334,0.209306,0.06319768666666667,0.0013418333333333546,0.46259341333333337,0.49810249999999995,0.02540788666666667,0.0003406666666666373,0.0033333333333333335,0.016666666666666666,0.016666666666666666,0.726423652777381,0.7337672332539683,0.619341403670635,0.862146498154762,1.0,0.9533333333333333,3.5650169999999997,0.9763128333333334,4.298869166666667,-2.397713,3.6652025,0.90387975,0.5188193254612632,0.6077463618679891,0.08892703640672593,0.5563049008756864,0.6373400753369785,0.08103517446129205,0.7914948462493406,0.8599083070839925,0.06841346083465183,0.7373204098253661,0.8461462568413007,0.10882584701593469,0.38122808300312033,0.5654385836635464,0.18421050066042596,0.8477556505748115,0.8777682927585216,0.030012642183710064,0.04666666666666667
SPECTR,100.0,0.9533333333333333,0.3433333333333333,0.7033333333333333,0.34,0.32,0.6733333333333333,0.6766666666666667,0.31666666666666665,0.13,0.5971599816666666,0.64120375,0.18050680215455253,0.5584619583333333,0.6998026250000001,0.407539672849428,0.4223885765797795,0.16198574210535213,0.32691486534574765,0.5219971060660581,0.3449486689269101,0.35563814829691576,0.16263818416403727,0.23011184600868576,0.46751413856261065,0.62786482,0.6430930833333334,0.5689035833333332,0.7009945833333333,0.5397533433333334,0.5278714999999999,0.4605238333333334,0.6140164166666667,0.2045170166666667,0.19063766666666668,0.1093775,0.28694775,0.07071134666666667,0.023596333333333348,0.41007517,0.4626158333333333,-0.03480308,-0.014300500000000002,0.036666666666666674,0.04666666666666667,0.04666666666666667,0.6918407413694445,0.6932129386904761,0.618699677638889,0.7891353608531747,0.89,0.8966666666666666,3.4215931666666664,0.9675308333333333,4.140425166666667,-2.6791436666666666,3.541889166666667,0.89206925,0.3130715848307588,0.3768257530230614,0.06375416819230258,0.3757904673967789,0.43928887830207697,0.06349841090529802,0.5617806484443744,0.632539314888959,0.07075866644458466,0.27066391170460447,0.3626694216287289,0.09200550992412442,0.08050612141154428,0.1794938785884557,0.09898775717691143,0.6068324521349816,0.6488971878650184,0.04206473573003675,-0.006666666666666672
VGG,100.0,0.96,0.57,0.85,0.42,0.5433333333333333,0.81,0.96,0.39333333333333337,0.28,0.7503593033333334,0.7894564166666665,0.15577734241268348,0.761487625,0.8108008333333333,0.5587769521562703,0.5757869406293974,0.1696895834754298,0.48929295090002856,0.672882621947597,0.5459814106374093,0.5699654811914215,0.1821353360437096,0.4709510511850817,0.6695667969344011,0.7852408066666667,0.7904865,0.7642453333333333,0.8113835833333334,0.24410042333333334,0.21826866666666667,0.17626258333333333,0.3123060833333333,0.18541796333333335,0.14984,0.10131808333333332,0.24913799999999997,0.04639137000000001,0.0,0.47897982,0.5,-0.0018948899999999974,0.0,0.01,0.013333333333333334,0.013333333333333334,0.7435271656075396,0.7633731606349207,0.642598742202381,0.8700162374603174,0.96,0.9466666666666667,3.6806696666666667,0.9802765,4.3529195,-1.9821013333333333,3.7989653333333333,0.88993325,0.5102828847728423,0.5816799365019765,0.07139705172913413,0.5255177937950861,0.5920361105174546,0.06651831672236852,0.7198269442204474,0.7808916624462192,0.0610647182257719,0.3467177434607549,0.4399489232059118,0.09323117974515693,0.22292155098347535,0.3370784490165247,0.11415689803304929,0.7778052407029934,0.79267637263034,0.014871131927346534,0.013333333333333308
