feature,easy_mean,hard_mean,easy_median,hard_median,mean_diff_easy_minus_hard,median_diff_easy_minus_hard,cohen_d_easy_minus_hard,mannwhitney_p,abs_cohen_d
spectral_bandwidth_mean,1128.4821268741498,762.597391806218,1151.5741951116865,768.2489789641963,365.88473506793184,383.3252161474902,2.194320948595348,0.0007685389131627665,2.194320948595348
dynamic_range_db,11.5289101755151,19.79443272124218,10.138910959392062,20.293106228322177,-8.265522545727082,-10.154195268930115,-1.96026554769609,0.0013149446697132139,1.96026554769609
zcr_mean,0.1442373951846736,0.1074569433627632,0.14777486280520685,0.11081777432111198,0.036780451821910407,0.036957088484094874,1.4869171353430528,0.0072845570094796615,1.4869171353430528
high_band_energy_ratio,0.0358902423105069,0.017756271200819664,0.03803602063440402,0.015915184974086505,0.018133971109687237,0.022120835660317514,1.1954418653961418,0.011329696684474668,1.1954418653961418
spectral_flatness_std,0.054629722302919306,0.1011054527333268,0.048693372374480105,0.09516951735243147,-0.046475730430407494,-0.04647614497795136,-1.1375835198019941,0.031209012771740218,1.1375835198019941
spectral_rolloff85_mean,1468.2552618210489,1090.4998996119618,1603.2155410744278,1115.4284605313974,377.755362209087,487.78708054303047,0.9973020274819381,0.053902557169387175,0.9973020274819381
spectral_flux_std,0.1810655721350972,0.22258451203617277,0.1635149208466226,0.21670242526296551,-0.04151893990107558,-0.0531875044163429,-0.9006762536630639,0.14046504815835495,0.9006762536630639
spectral_centroid_mean,782.3009521924324,640.8592982614229,823.7245932861495,647.4625720115769,141.44165393100957,176.2620212745726,0.8714688025821009,0.053902557169387175,0.8714688025821009
frame_rms_db_std,6.817485772374984,11.519997679737422,4.376424553868141,10.923577516584437,-4.702511907362438,-6.5471529627162965,-0.8529672098456773,0.017257456083119765,0.8529672098456773
silence_ratio,0.00885388618991423,0.020231178144217852,0.0023294814907425195,0.01715865824869993,-0.011377291954303622,-0.01482917675795741,-0.8494629914795214,0.03691851724288464,0.8494629914795214
duration_sec,131.80465625,171.6670875,123.52981249999999,168.41434375,-39.862431250000014,-44.88453125000001,-0.708524656409487,0.11051729919926355,0.708524656409487
mid_band_energy_ratio,0.2758752791048197,0.3360320134338444,0.2678546649582496,0.3095832921386973,-0.06015673432902474,-0.041728627180447675,-0.44263889812860224,0.5205228832757727,0.44263889812860224
frame_rms_db_mean,-16.67903034861623,-17.97107525010754,-16.386710235154162,-16.467996593738757,1.292044901491309,0.08128635858459532,0.37416638315312917,0.3074894566186813,0.37416638315312917
spectral_centroid_std,410.52440689199886,461.28128931821027,401.6519866493564,388.2990613153079,-50.756882426211405,13.352925334048507,-0.3667177495681584,0.7337299956962472,0.3667177495681584
spectral_flux_mean,0.6490217929839702,0.6241520902364304,0.6525559708857394,0.6200675641162148,0.024869702747539857,0.03248840676952458,0.33114924494727416,0.4273553138978077,0.33114924494727416
low_band_energy_ratio,0.688234478584645,0.6462117153653155,0.6806868194546246,0.6611162173395162,0.04202276321932952,0.019570602115108415,0.31535735252761604,0.6231762238821174,0.31535735252761604
spectral_rolloff85_std,1053.7069703831007,978.9153291957291,966.1125166490368,884.3257720344418,74.79164118737162,81.78674461459502,0.27939283094089457,0.27303633975118835,0.27939283094089457
spectral_bandwidth_std,367.7809804615234,395.89885856666285,339.0618889543406,409.74602245207257,-28.117878105139425,-70.68413349773198,-0.2774178992307862,0.47267559351158717,0.2774178992307862
rms,0.18647061773599627,0.20105426278581393,0.19987577543164278,0.20759359760270268,-0.014583645049817656,-0.0077178221710599015,-0.21568318927544722,0.7913367801006604,0.21568318927544722
peak_db,-1.7515207398236323,-1.2088109147381059,0.19392466773273961,-0.6048805868795771,-0.5427098250855265,0.7988052546123168,-0.1958730616298521,0.7913367801006604,0.1958730616298521
rms_db,-15.082631518997307,-14.50373653211536,-14.009398255740596,-13.65996722900426,-0.5788949868819468,-0.34943102673633497,-0.17489533375511246,0.7913367801006604,0.17489533375511246
zcr_std,0.06603147898864728,0.06873488007858962,0.062163403993786934,0.06004537874505084,-0.0027034010899423394,0.0021180252487360968,-0.1546896979057575,0.7913367801006604,0.1546896979057575
spectral_flatness_mean,0.2983294946030849,0.28503216149285493,0.2733288444603452,0.284476056182085,0.013297333110229959,-0.01114721172173977,0.12726287572034153,0.6775849579524755,0.12726287572034153
peak,0.8646975785493851,0.895355862379074,1.0226058959960938,0.9327347874641418,-0.030658283829688937,0.0898711085319519,-0.12346130044235655,0.7913367801006604,0.12346130044235655
crest_factor,4.685769223132363,4.7324448132433465,4.435382422584591,4.454326773976529,-0.046675590110983656,-0.018944351391938064,-0.04997837006176251,0.7913367801006604,0.04997837006176251
